X,Y,OBJECTID,COUNTY,UNIQUE_ID,MONUMENT_NAME,RANGE,STATE_PLANE_ZONE,EASTING,NORTHING,LONGITUDE,LATITUDE
723346.4966,528319.8305,93,BREVARD,BE V-331,V-331,V,East_Zone,757667.9,1595319.26,-80.68331796,28.72193725
723527.0007,528073.9255,94,BREVARD,BE V-332,V-332,V,East_Zone,758241.49,1594500.06,-80.68153522,28.71968005
723707.504,527828.0477,95,BREVARD,BE V-333,V-333,V,East_Zone,758815.08,1593680.95,-80.67975255,28.71742306
723887.9803,527582.1415,96,BREVARD,BE V-334,V-334,V,East_Zone,759388.58,1592861.75,-80.67797025,28.7151658
724068.4831,527336.2663,97,BREVARD,BE V-335,V-335,V,East_Zone,759962.17,1592042.65,-80.67618773,28.7129088
724248.9865,527090.3574,98,BREVARD,BE V-336,V-336,V,East_Zone,760535.76,1591223.44,-80.6744053,28.71065147
724429.492,526844.4819,99,BREVARD,BE V-337,V-337,V,East_Zone,761109.36,1590404.34,-80.67262291,28.70839441
724609.9645,526598.575,100,BREVARD,BE V-338,V-338,V,East_Zone,761682.85,1589585.14,-80.67084093,28.70613706
724790.4667,526352.6959,101,BREVARD,BE V-339,V-339,V,East_Zone,762256.44,1588766.03,-80.66905873,28.70387994
724970.9693,526106.7894,102,BREVARD,BE V-340,V-340,V,East_Zone,762830.03,1587946.83,-80.66727659,28.70162254
725151.474,525860.9132,103,BREVARD,BE V-341,V-341,V,East_Zone,763403.63,1587127.73,-80.66549451,28.69936539
725331.9459,525615.0024,104,BREVARD,BE V-342,V-342,V,East_Zone,763977.12,1586308.52,-80.66371284,28.69710792
725512.4473,525369.1257,105,BREVARD,BE V-343,V-343,V,East_Zone,764550.71,1585489.42,-80.66193094,28.69485072
725692.9522,525123.2185,106,BREVARD,BE V-344,V-344,V,East_Zone,765124.31,1584670.22,-80.66014908,28.69259323
725873.4533,524877.3384,107,BREVARD,BE V-345,V-345,V,East_Zone,765697.9,1583851.11,-80.65836733,28.69033596
726053.9244,524631.43,108,BREVARD,BE V-346,V-346,V,East_Zone,766271.39,1583031.91,-80.65658597,28.68807842
726234.425,524385.5526,109,BREVARD,BE V-347,V-347,V,East_Zone,766844.98,1582212.81,-80.65480437,28.68582113
726414.9293,524139.6416,110,BREVARD,BE V-348,V-348,V,East_Zone,767418.58,1581393.6,-80.65302282,28.68356352
726595.4295,523893.7638,111,BREVARD,BE V-349,V-349,V,East_Zone,767992.17,1580574.5,-80.65124137,28.68130618
726775.9304,523647.8554,112,BREVARD,BE V-350,V-350,V,East_Zone,768565.76,1579755.3,-80.64946,28.67904855
726956.3999,523401.9736,113,BREVARD,BE V-351,V-351,V,East_Zone,769139.25,1578936.19,-80.64767902,28.67679114
727136.9034,523156.0649,114,BREVARD,BE V-352,V-352,V,East_Zone,769712.85,1578116.99,-80.64589777,28.67453346
727304.3274,522901.0401,115,BREVARD,BE V-353,V-353,V,East_Zone,770242.74,1577268.99,-80.64425317,28.6721969
727471.752,522645.9817,116,BREVARD,BE V-354,V-354,V,East_Zone,770772.63,1576420.88,-80.64260865,28.66986003
727639.206,522390.9574,117,BREVARD,BE V-355,V-355,V,East_Zone,771302.62,1575572.88,-80.64096389,28.66752343
727806.6303,522135.8986,118,BREVARD,BE V-356,V-356,V,East_Zone,771832.51,1574724.77,-80.63931951,28.66518652
727974.0567,521880.8733,119,BREVARD,BE V-357,V-357,V,East_Zone,772362.41,1573876.77,-80.63767517,28.66284988
728141.4806,521625.8172,120,BREVARD,BE V-358,V-358,V,East_Zone,772892.3,1573028.67,-80.63603094,28.66051295
728308.9037,521370.7885,121,BREVARD,BE V-359,V-359,V,East_Zone,773422.19,1572180.66,-80.63438678,28.65817625
728476.3577,521115.7328,122,BREVARD,BE V-360,V-360,V,East_Zone,773952.18,1571332.56,-80.63274238,28.65583928
728643.7805,520860.7037,123,BREVARD,BE V-361,V-361,V,East_Zone,774482.07,1570484.55,-80.63109836,28.65350253
728811.2068,520605.647,124,BREVARD,BE V-362,V-362,V,East_Zone,775011.97,1569636.45,-80.62945439,28.65116552
728978.6292,520350.6207,125,BREVARD,BE V-363,V-363,V,East_Zone,775541.86,1568788.45,-80.62781052,28.64882877
729146.0523,520095.5605,126,BREVARD,BE V-364,V-364,V,East_Zone,776071.75,1567940.34,-80.62616672,28.64649169
729313.4744,519840.5338,127,BREVARD,BE V-365,V-365,V,East_Zone,776601.64,1567092.34,-80.62452299,28.6441549
729480.9276,519585.4742,128,BREVARD,BE V-366,V-366,V,East_Zone,777131.63,1566244.23,-80.62287903,28.64181778
729648.3494,519330.4472,129,BREVARD,BE V-367,V-367,V,East_Zone,777661.52,1565396.23,-80.62123545,28.63948094
729815.7718,519075.3895,130,BREVARD,BE V-368,V-368,V,East_Zone,778191.41,1564548.13,-80.61959194,28.63714381
729983.1964,518820.3591,131,BREVARD,BE V-369,V-369,V,East_Zone,778721.31,1563700.12,-80.61794847,28.63480691
730176.2658,518584.2842,132,BREVARD,BE V-370,V-370,V,East_Zone,779337,1562912.12,-80.61603705,28.63263427
730369.3047,518348.2054,133,BREVARD,BE V-371,V-371,V,East_Zone,779952.59,1562124.11,-80.61412601,28.63046158
730562.3745,518112.0996,134,BREVARD,BE V-372,V-372,V,East_Zone,780568.28,1561336.01,-80.61221474,28.62828861
730755.4435,517876.0212,135,BREVARD,BE V-373,V-373,V,East_Zone,781183.97,1560548,-80.61030355,28.62611587
730948.4818,517639.945,136,BREVARD,BE V-374,V-374,V,East_Zone,781799.56,1559760,-80.60839275,28.62394313
731141.5533,517403.8694,137,BREVARD,BE V-375,V-375,V,East_Zone,782415.26,1558972,-80.60648169,28.62177035
731334.6218,517167.7905,138,BREVARD,BE V-376,V-376,V,East_Zone,783030.95,1558183.99,-80.60457073,28.61959753
731527.6595,516931.7138,139,BREVARD,BE V-377,V-377,V,East_Zone,783646.54,1557395.99,-80.60266017,28.6174247
731720.7276,516695.6347,140,BREVARD,BE V-378,V-378,V,East_Zone,784262.23,1556607.98,-80.60074937,28.61525182
731913.765,516459.5577,141,BREVARD,BE V-379,V-379,V,East_Zone,784877.82,1555819.98,-80.59883896,28.61307895
732106.8328,516223.4782,142,BREVARD,BE V-380,V-380,V,East_Zone,785493.51,1555031.97,-80.59692832,28.61090601
732299.901,515987.3711,143,BREVARD,BE V-381,V-381,V,East_Zone,786109.2,1554243.87,-80.59501776,28.60873281
732492.938,515751.2907,144,BREVARD,BE V-382,V-382,V,East_Zone,786724.79,1553455.86,-80.59310758,28.60655982
732686.0052,515515.2138,145,BREVARD,BE V-383,V-383,V,East_Zone,787340.48,1552667.86,-80.59119718,28.60438683
732879.0447,515279.1361,146,BREVARD,BE V-384,V-384,V,East_Zone,787956.08,1551879.86,-80.58928713,28.60221382
733072.1116,515043.056,147,BREVARD,BE V-385,V-385,V,East_Zone,788571.77,1551091.85,-80.58737688,28.60004075
733265.1783,514806.9787,148,BREVARD,BE V-386,V-386,V,East_Zone,789187.46,1550303.85,-80.58546671,28.59786769
733458.2144,514570.8975,149,BREVARD,BE V-387,V-387,V,East_Zone,789803.05,1549515.84,-80.58355693,28.59569457
